Customer_ID,Modelo,Revisiones,PVP,p_churn,Churn_pred,Segmento,n_mantenimiento,C_n,CosteMarketing,Precio_base,d_optimo,d_max,Precio_final,Margen_final,oferta_2o_vehiculo,CLTV,Accion_recomendada
102912,J,0,34133,0.0049,0,Bajo,1,429.00000000000006,4.290000000000001,729.3000000000001,0.0,0.0663,729.3000000000001,0.34176470588235286,False,2921.41,Descuento fidelizacion 0.0%
75729,A,0,11475,0.0049,0,Bajo,1,267.5,2.6750000000000003,454.75,0.0,0.0663,454.75,0.34176470588235286,False,1821.62,Descuento fidelizacion 0.0%
107991,B,0,19732,0.0049,0,Bajo,1,281.41,2.8141000000000003,478.39700000000005,0.0,0.0663,478.39700000000005,0.3417647058823529,False,1916.35,Descuento fidelizacion 0.0%
105632,B,0,23416,0.0049,0,Bajo,1,281.41,2.8141000000000003,478.39700000000005,0.0,0.0663,478.39700000000005,0.3417647058823529,False,1916.35,Descuento fidelizacion 0.0%
100217,I,0,29240,0.0049,0,Bajo,1,408.1,4.081,693.77,0.0,0.0663,693.77,0.3417647058823529,False,2779.08,Descuento fidelizacion 0.0%
100791,I,0,26885,0.0049,0,Bajo,1,408.1,4.081,693.77,0.0,0.0663,693.77,0.3417647058823529,False,2779.08,Descuento fidelizacion 0.0%
100263,I,0,30330,0.0049,0,Bajo,1,408.1,4.081,693.77,0.0,0.0663,693.77,0.3417647058823529,False,2779.08,Descuento fidelizacion 0.0%
108476,B,0,20517,0.0049,0,Bajo,1,281.41,2.8141000000000003,478.39700000000005,0.0,0.0663,478.39700000000005,0.3417647058823529,False,1916.35,Descuento fidelizacion 0.0%
67296,B,0,22940,0.0049,0,Bajo,1,281.41,2.8141000000000003,478.39700000000005,0.0,0.0663,478.39700000000005,0.3417647058823529,False,1916.35,Descuento fidelizacion 0.0%
100407,H,0,22875,0.0049,0,Bajo,1,388.3,3.883,660.11,0.0,0.0663,660.11,0.34176470588235286,False,2644.25,Descuento fidelizacion 0.0%
102909,B,0,19246,0.0049,0,Bajo,1,281.41,2.8141000000000003,478.39700000000005,0.0,0.0663,478.39700000000005,0.3417647058823529,False,1916.35,Descuento fidelizacion 0.0%
105105,B,0,23796,0.0049,0,Bajo,1,281.41,2.8141000000000003,478.39700000000005,0.0,0.0663,478.39700000000005,0.3417647058823529,False,1916.35,Descuento fidelizacion 0.0%
104974,I,0,28287,0.0049,0,Bajo,1,408.1,4.081,693.77,0.0,0.0663,693.77,0.3417647058823529,False,2779.08,Descuento fidelizacion 0.0%
103202,B,0,21535,0.0049,0,Bajo,1,281.41,2.8141000000000003,478.39700000000005,0.0,0.0663,478.39700000000005,0.3417647058823529,False,1916.35,Descuento fidelizacion 0.0%
